id,question,text,position,section
mle0011,What is Syntactic Analysis?,"Syntactic Analysis, also known as Syntax analysis or Parsing, is a text analysis that tells us the logical meaning behind the sentence or part of the sentence. It focuses on the relationship between words and the grammatical structure of sentences. You can also say that it is the processing of analyzing the natural language by using grammatical rules.",mle,NLP Engineering Interview Questions
mle0012,What are Stemming and Lemmatization?,"Stemming and lemmatization is a normalizing technique used to minimize the structural variation of words in a sentence.
Stemming removes the affixes added to the word and leaves it in base form. For example, Changing to Chang.
It is widely used by search engines for storage optimization. Instead of storing all the forms of the words, it only stores the stems.
Lemmatization converts the word into its lemma form. The output is the root word instead of the stem word. After lemmatization, we get the valid word that means something. For example, Changing to Change.",mle,NLP Engineering Interview Questions
mle0013,How would you reduce the inference time of a trained transformer model?,"It is the responsibility of machine learning engineers to optimize the model inference. Due to large language models, it has become more difficult to deploy models in production and reduce inference time to microseconds.
To improve inference time, we can use:
GPU, TPU, or FPGA for acceleration.
GPU with fp16 support
Pruning to reduce parameters
Knowledge distillation
Hierarchical softmax or adaptive softmax
Cache predictions
Parallel/batch computing
Reduce the model size",mle,Reinforcement Learning Engineering Interview Questions
mle0014,What are the steps involved in a typical Reinforcement Learning algorithm?,"Reinforcement learning uses trial and error to reach goals. It is a goal-oriented algorithm and it learns from the environment by taking correct steps to maximize the cumulative reward.
In typical reinforcement learning:
At the start, the agent receives state zero from the environment
Based on the state, the agent will take an action
The state has changed, and the agent is at a new place in the environment.
The agent receives the reward if it has made the correct move.
The process will repeat until the agent has learned the best possible path to reach the goal by maximizing the cumulative rewards.",mle,Reinforcement Learning Engineering Interview Questions
mle0015,What is the difference between Off-Policy and On-Policy Learning?,"On-Policy learning algorithms evaluate and improve the same policy to act and update it. In other words, the policy that is used for updating and the policy that is used to take action are the same.
Target Policy == Behavior Policy
On-policy algorithms are Sarsa, Monte Carlo for On-Policy, Value Iteration, and Policy Iteration
Off-Policy Learning algorithms are completely different as the updated policy is different from the behavior policy. For example, in Q-learning, the agent learns from an optimal policy with the help of a greedy policy and takes action using other policies.",mle,Reinforcement Learning Engineering Interview Questions
mle0016,Why do we need “Deep” Q learning?,"Simple Q learning is great. It solves the problem on a smaller scale, but on a larger scale, it fails.
Imagine if the environment has 1000 states and 1000 actions per state. We will require a Q table of millions of cells. The game of chess and Go will require an even bigger table. This is where Deep Q-learning comes for the rescue.
It utilizes a neural network to approximate the Q value function. The neural networks recipe states as an input and outputs the Q-value of all possible actions.",mle,Amazon Machine Learning Interview Questions
mle0017,What is the interpretation of a ROC area under the curve?,"Receiver operating characteristics (ROC) shows the trade-off between sensitivity and specificity.
Sensitivity: it is the probability that the model predicts a positive outcome when the actual value is also positive.
Specificity: it is the probability that the model predicts a negative outcome when the actual value is also negative.
The curve is plotted using the False positive rate (FP/(TN + FP)) and true positive rate (TP/(TP + FN))
The area under the curve (AUC) shows the model performance. If the area under the ROC curve is 0.5, then our model is completely random. The model with AUC close to 1 is the better model.",mle,Amazon Machine Learning Interview Questions
mle0018,What are the methods of reducing dimensionality?,"For dimensionality reduction, we can use feature selection or feature extraction methods.
Feature selection is a process of selecting optimal features and dropping irrelevant features. We use Filter, Wrapper, and Embedded methods to analyze feature importance and remove less important features to improve model performance.
Feature extraction transforms the space with multiple dimensions into fewer dimensions. No information is lost during the process, and it uses fewer resources to process the data. The most common extraction techniques are Linear discriminant analysis (LDA), Kernel PCA, and Quadratic discriminant analysis.",mle,Amazon Machine Learning Interview Questions
mle0019,How do you find thresholds for a classifier?,"In the case of a spam classifier, a logistics regression model will return the probability. We either use the probability of 0.8999 or convert it into class (Spam/Not Spam) using a threshold.
Usually, the threshold of a classifier is 0.5, but in some cases, we need to fine-tune it to improve the accuracy. The 0.5 threshold means that if the probability is equal to or above 0.5, it is spam, and if it is lower, then it is not spam.
To find the threshold, we can use Precision-Recall curves and ROC curves, grid search, and by manually changing the value to get a better CV.",mle,Google Machine Learning Interview Questions
mle0020,What are the assumptions of linear regression?,"Linear regression is used to understand the relation between features (X) and target (y). Before we train the model, we need to meet a few assumptions:
The residuals are independent
There is a linear relation between X independent variable and y dependent variable.
Constant residual variance at every level of X
The residuals are normally distributed.
Note: the residuals in linear regression are the difference between actual and predicted values.",mle,Google Machine Learning Interview Questions
mle0021,Write a function find_bigrams to take a string and return a list of all bigrams,"During coding interviews, you will be asked about machine learning problems, but in some cases, they will assess your Python skills by asking you general coding questions. Become an expert Python programmer by taking the Python Programmer career track.
Creating a bigram function is quite easy. You need to use two loops with the zip function.
In bigram function, we are taking a list of the sentence as an input
Creating a loop to access a single sentence
Lowering and splitting the sentence into a list of words
Using zip to create a combination of the previous word and the next word
Appending the output to the result
Printing the results.
It is quite easy if you break down the problem and use zip functions.
def bigram(text_list:list):
result = []
for ls in text_list:
words = ls.lower().split()
for bi in zip(words, words[1:]):
result.append(bi)
return result
text = [""Data drives everything"", ""Get the skills you need for the future of work""]
print(bigram(text))
Results:
[('Data', 'drives'), ('drives', 'everything'), ('Get', 'the'), ('the', 'skills'), ('skills', 'you'), ('you', 'need'), ('need', 'for'), ('for', 'the'), ('the', 'future'), ('future', 'of'), ('of', 'work')]",mle,Google Machine Learning Interview Questions
mle0022,What is the activation function in Machine Learning?,"The activation function is a non-linear transformation in neural networks. We pass the input through the activation function before passing it to the next layer.
The net input value can be anything between -inf to +inf, and the neuron doesn't know how to bound the values, thus unable to decide the firing pattern. The activation function decides whether a neuron should be activated or not to bound the net input values.
Most common types of Activation Functions:
Step Function
Sigmoid Function
ReLU
Leaky ReLU",mle,Meta Machine Learning Interview Questions
mle0023,How would you build a restaurant recommendation on Facebook?,"The answer is completely up to you. But before answering, you need to consider what business goal you want to achieve to set a performance metric and how you are going to acquire the data.
In a typical machine learning system design, we:
Collect, clean, and analyze the data.
Perform feature engineering
Select a methodology, algorithm, or machine learning model
Train and evaluate the performance on test and validation datasets.
Streamline the processes and deploy the model in production.
You need to make sure you are focusing on design rather than theory or model architecture. Make sure to talk about model inference and how improving it will increase the overall revenues.
Also, give an overview of why you selected a certain methodology over the other.",mle,Meta Machine Learning Interview Questions
mle0024,"Given two strings A and B, write a function can_shift to return whether or not, A can be shifted some number of places to get B","Solving coding challenges and working on your Python skills will improve your chance of getting past the coding interview stage.
Before jumping into solving a problem, you need to understand the question. You simply need to create a boolean function that will return True if by shifting the alphabets in String B, you get String A.
A = 'abid'
B = 'bida'
can_shift(A, B) == True
Return false if the length of the string is not similar.
Loop around the range of length of String A
Create mut_a to create various combinations of characters using the String A
During the loop, if mut_a is equal to String B returns True, else returns false.
def can_shift(a, b):
if len(a) != len(b):
return False
for i in range(len(a)):
mut_a = a[i:] + a[:i]
if mut_a == b:
return True
return False
A = 'abid'
B = 'bida'
print(can_shift(A, B))
>>> True",mle,Meta Machine Learning Interview Questions
mle0025,What is Ensemble learning?,"Ensemble learning is used to combine the insights of multiple machine learning models to improve the accuracy and performance metrics.
Simple ensemble methods:
Mean/average: we average the predictions from multiple high-performing models.
Weighted average: we assign different weights to machine learning models based on the performance and then combine them.
Advance ensemble methods:
Bagging is used to minimize variance errors. It randomly creates the subset of training data and trains it on the models. The combination of models reduces the variance and makes it more reliable compared to a single model.
Boosting is used to reduce bias errors and produce superior predictive models. It is an iterative ensemble technique that adjusts the weights based on the last classification. Boosting algorithms give more weight to observations that the previous model predicted inaccurately.",mle,Meta Machine Learning Interview Questions
mle0026,What's the trade-off between bias and variance?,If our model is too simple and has very few parameters then it may have high bias and low variance. On the other hand if our model has large number of parameters then it’s going to have high variance and low bias. So we need to find the right/good balance without overfitting and underfitting the data.,mle,Technical Machine Learning Interview Questions
mle0027,What is gradient descent?,"Gradient descent is an optimization algorithm used to find the values of parameters (coefficients) of a function (f) that minimizes a cost function (cost).
Gradient descent is best used when the parameters cannot be calculated analytically (e.g. using linear algebra) and must be searched for by an optimization algorithm.",mle,Technical Machine Learning Interview Questions
mle0028,Explain over- and under-fitting and how to combat them?,"ML/DL models essentially learn a relationship between its given inputs(called training features) and objective outputs(called labels). Regardless of the quality of the learned relation(function), its performance on a test set(a collection of data different from the training input) is subject to investigation.
Most ML/DL models have trainable parameters which will be learned to build that input-output relationship. Based on the number of parameters each model has, they can be sorted into more flexible(more parameters) to less flexible(less parameters).
The problem of Underfitting arises when the flexibility of a model(its number of parameters) is not adequate to capture the underlying pattern in a training dataset. Overfitting, on the other hand, arises when the model is too flexible to the underlying pattern. In the later case it is said that the model has “memorized” the training data.
An example of underfitting is estimating a second order polynomial(quadratic function) with a first order polynomial(a simple line). Similarly, estimating a line with a 10th order polynomial would be an example of overfitting.",mle,Technical Machine Learning Interview Questions
mle0029,How do you combat the curse of dimensionality?,"Feature Selection(manual or via statistical methods)
Principal Component Analysis (PCA)
Multidimensional Scaling
Locally linear embedding",mle,Technical Machine Learning Interview Questions
mle0030,"What is regularization, why do we use it, and give some examples of common methods?","A technique that discourages learning a more complex or flexible model, so as to avoid the risk of overfitting. Examples
Ridge (L2 norm)
Lasso (L1 norm)
The obvious disadvantage of ridge regression, is model interpretability. It will shrink the coefficients for least important predictors, very close to zero. But it will never make them exactly zero. In other words, the final model will include all predictors. However, in the case of the lasso, the L1 penalty has the effect of forcing some of the coefficient estimates to be exactly equal to zero when the tuning parameter λ is sufficiently large. Therefore, the lasso method also performs variable selection and is said to yield sparse models.",mle,Technical Machine Learning Interview Questions
mle0031,Explain Principal Component Analysis (PCA)?,"Principal Component Analysis (PCA) is a dimensionality reduction technique used in machine learning to reduce the number of features in a dataset while retaining as much information as possible. It works by identifying the directions (principal components) in which the data varies the most, and projecting the data onto a lower-dimensional subspace along these directions.",mle,Technical Machine Learning Interview Questions
mle0032,Why is ReLU better and more often used than Sigmoid in Neural Networks?,"Computation Efficiency: As ReLU is a simple threshold the forward and backward path will be faster.
Reduced Likelihood of Vanishing Gradient: Gradient of ReLU is 1 for positive values and 0 for negative values while Sigmoid activation saturates (gradients close to 0) quickly with slightly higher or lower inputs leading to vanishing gradients.
Sparsity: Sparsity happens when the input of ReLU is negative. This means fewer neurons are firing ( sparse activation ) and the network is lighter.",mle,Technical Machine Learning Interview Questions
mle0033,"Given stride S and kernel sizes for each layer of a (1-dimensional) CNN, create a function to compute the receptive field of a particular node in the network. This is just finding how many input nodes actually connect through to a neuron in a CNN","The receptive field are defined portion of space within an inputs that will be used during an operation to generate an output.
Considering a CNN filter of size k, the receptive field of a peculiar layer is only the number of input used by the filter, in this case k, multiplied by the dimension of the input that is not being reduced by the convolutionnal filter a. This results in a receptive field of k*a.
More visually, in the case of an image of size 32x32x3, with a CNN with a filter size of 5x5, the corresponding recpetive field will be the the filter size, 5 multiplied by the depth of the input volume (the RGB colors) which is the color dimensio. This thus gives us a recpetive field of dimension 5x5x3.",mle,Technical Machine Learning Interview Questions
mle0037,How would you remove outliers when trying to estimate a flat plane from noisy samples?,"Random sample consensus (RANSAC) is an iterative method to estimate parameters of a mathematical model from a set of observed data that contains outliers, when outliers are to be accorded no influence on the values of the estimates.",mle,Technical Machine Learning Interview Questions
mle0038,How does CBIR work?,"[Answer] Content-based image retrieval is the concept of using images to gather metadata on their content. Compared to the current image retrieval approach based on the keywords associated to the images, this technique generates its metadata from computer vision techniques to extract the relevant informations that will be used during the querying step. Many approach are possible from feature detection to retrieve keywords to the usage of CNN to extract dense features that will be associated to a known distribution of keywords.
With this last approach, we care less about what is shown on the image but more about the similarity between the metadata generated by a known image and a list of known label and or tags projected into this metadata space.",mle,Technical Machine Learning Interview Questions
mle0040,Describe how convolution works. What about if your inputs are grayscale vs RGB imagery? What determines the shape of the next layer?[src],"In a convolutional neural network (CNN), the convolution operation is applied to the input image using a small matrix called a kernel or filter. The kernel slides over the image in small steps, called strides, and performs element-wise multiplications with the corresponding elements of the image and then sums up the results. The output of this operation is called a feature map.
When the input is RGB(or more than 3 channels) the sliding window will be a sliding cube. The shape of the next layer is determined by Kernel size, number of kernels, stride, padding, and dialation.",mle,Technical Machine Learning Interview Questions
mle0041,Talk me through how you would create a 3D model of an object from imagery and depth sensor measurements taken at all angles around the object,"There are two popular methods for 3D reconstruction:
Structure from Motion (SfM)
Multi-View Stereo (MVS)
SfM is better suited for creating models of large scenes while MVS is better suited for creating models of small objects.",mle,Technical Machine Learning Interview Questions
mle0042,"Implement SQRT(const double & x) without using any special functions, just fundamental arithmetic",The taylor series can be used for this step by providing an approximation of sqrt(x):,mle,Technical Machine Learning Interview Questions
mle0043,Reverse a bitstring,"If you are using python3:
data = b'\xAD\xDE\xDE\xC0'
my_data = bytearray(data)
my_data.reverse()",mle,Technical Machine Learning Interview Questions
mle0044,Implement non maximal suppression as efficiently as you can,"Non-Maximum Suppression (NMS) is a technique used to eliminate multiple detections of the same object in a given image. To solve that first sort bounding boxes based on their scores(N LogN). Starting with the box with the highest score, remove boxes whose overlapping metric(IoU) is greater than a certain threshold.(N^2)
To optimize this solution you can use special data structures to query for overlapping boxes such as R-tree or KD-tree. (N LogN)",mle,Technical Machine Learning Interview Questions
mle0046,What is data normalization and why do we need it?,"Data normalization is very important preprocessing step, used to rescale values to fit in a specific range to assure better convergence during backpropagation. In general, it boils down to subtracting the mean of each data point and dividing by its standard deviation. If we don't do this then some of the features (those with high magnitude) will be weighted more in the cost function (if a higher-magnitude feature changes by 1%, then that change is pretty big, but for smaller features it's quite insignificant). The data normalization makes all features weighted equally.",mle,Technical Machine Learning Interview Questions
mle0047,Why do we use convolutions for images rather than just FC layers?,"Firstly, convolutions preserve, encode, and actually use the spatial information from the image. If we used only FC layers we would have no relative spatial information. Secondly, Convolutional Neural Networks (CNNs) have a partially built-in translation in-variance, since each convolution kernel acts as it's own filter/feature detector.",mle,Technical Machine Learning Interview Questions
mle0048,What makes CNNs translation invariant?,"As explained above, each convolution kernel acts as it's own filter/feature detector. So let's say you're doing object detection, it doesn't matter where in the image the object is since we're going to apply the convolution in a sliding window fashion across the entire image anyways.",mle,Technical Machine Learning Interview Questions
mle0049,Why do we have max-pooling in classification CNNs?,for a role in Computer Vision. Max-pooling in a CNN allows you to reduce computation since your feature maps are smaller after the pooling. You don't lose too much semantic information since you're taking the maximum activation. There's also a theory that max-pooling contributes a bit to giving CNNs more translation in-variance. Check out this great video from Andrew Ng on the benefits of max-pooling.,mle,Technical Machine Learning Interview Questions
mle0050,Why do segmentation CNNs typically have an encoder-decoder style / structure?,"The encoder CNN can basically be thought of as a feature extraction network, while the decoder uses that information to predict the image segments by ""decoding"" the features and upscaling to the original image size.",mle,Technical Machine Learning Interview Questions
mle0051,What is the significance of Residual Networks?,"The main thing that residual connections did was allow for direct feature access from previous layers. This makes information propagation throughout the network much easier. One very interesting paper about this shows how using local skip connections gives the network a type of ensemble multi-path structure, giving features multiple paths to propagate throughout the network.",mle,Technical Machine Learning Interview Questions
mle0052,What is batch normalization and why does it work?,"Training Deep Neural Networks is complicated by the fact that the distribution of each layer's inputs changes during training, as the parameters of the previous layers change. The idea is then to normalize the inputs of each layer in such a way that they have a mean output activation of zero and standard deviation of one. This is done for each individual mini-batch at each layer i.e compute the mean and variance of that mini-batch alone, then normalize. This is analogous to how the inputs to networks are standardized. How does this help? We know that normalizing the inputs to a network helps it learn. But a network is just a series of layers, where the output of one layer becomes the input to the next. That means we can think of any layer in a neural network as the first layer of a smaller subsequent network. Thought of as a series of neural networks feeding into each other, we normalize the output of one layer before applying the activation function, and then feed it into the following layer (sub-network).",mle,Technical Machine Learning Interview Questions
mle0053,Why would you use many small convolutional kernels such as 3x3 rather than a few large ones?,"This is very well explained in the VGGNet paper. There are 2 reasons: First, you can use several smaller kernels rather than few large ones to get the same receptive field and capture more spatial context, but with the smaller kernels you are using less parameters and computations. Secondly, because with smaller kernels you will be using more filters, you'll be able to use more activation functions and thus have a more discriminative mapping function being learned by your CNN.",mle,Technical Machine Learning Interview Questions
mle0054,Why do we need a validation set and test set? What is the difference between them?,"When training a model, we divide the available data into three separate sets:
The training dataset is used for fitting the model’s parameters. However, the accuracy that we achieve on the training set is not reliable for predicting if the model will be accurate on new samples.
The validation dataset is used to measure how well the model does on examples that weren’t part of the training dataset. The metrics computed on the validation data can be used to tune the hyperparameters of the model. However, every time we evaluate the validation data and we make decisions based on those scores, we are leaking information from the validation data into our model. The more evaluations, the more information is leaked. So we can end up overfitting to the validation data, and once again the validation score won’t be reliable for predicting the behaviour of the model in the real world.
The test dataset is used to measure how well the model does on previously unseen examples. It should only be used once we have tuned the parameters using the validation set.
So if we omit the test set and only use a validation set, the validation score won’t be a good estimate of the generalization of the model.",mle,Technical Machine Learning Interview Questions
mle0055,What is stratified cross-validation and when should we use it?,"Cross-validation is a technique for dividing data between training and validation sets. On typical cross-validation this split is done randomly. But in stratified cross-validation, the split preserves the ratio of the categories on both the training and validation datasets.
For example, if we have a dataset with 10% of category A and 90% of category B, and we use stratified cross-validation, we will have the same proportions in training and validation. In contrast, if we use simple cross-validation, in the worst case we may find that there are no samples of category A in the validation set.
Stratified cross-validation may be applied in the following scenarios:
On a dataset with multiple categories. The smaller the dataset and the more imbalanced the categories, the more important it will be to use stratified cross-validation.
On a dataset with data of different distributions. For example, in a dataset for autonomous driving, we may have images taken during the day and at night. If we do not ensure that both types are present in training and validation, we will have generalization problems.",mle,Technical Machine Learning Interview Questions
mle0056,Why do ensembles typically have higher scores than individual models?,"An ensemble is the combination of multiple models to create a single prediction. The key idea for making better predictions is that the models should make different errors. That way the errors of one model will be compensated by the right guesses of the other models and thus the score of the ensemble will be higher.
We need diverse models for creating an ensemble. Diversity can be achieved by:
Using different ML algorithms. For example, you can combine logistic regression, k-nearest neighbors, and decision trees.
Using different subsets of the data for training. This is called bagging.
Giving a different weight to each of the samples of the training set. If this is done iteratively, weighting the samples according to the errors of the ensemble, it’s called boosting. Many winning solutions to data science competitions are ensembles. However, in real-life machine learning projects, engineers need to find a balance between execution time and accuracy.",mle,Technical Machine Learning Interview Questions
mle0057,What is an imbalanced dataset? Can you list some ways to deal with it?,"An imbalanced dataset is one that has different proportions of target categories. For example, a dataset with medical images where we have to detect some illness will typically have many more negative samples than positive samples—say, 98% of images are without the illness and 2% of images are with the illness.
There are different options to deal with imbalanced datasets:
Oversampling or undersampling. Instead of sampling with a uniform distribution from the training dataset, we can use other distributions so the model sees a more balanced dataset.
Data augmentation. We can add data in the less frequent categories by modifying existing data in a controlled way. In the example dataset, we could flip the images with illnesses, or add noise to copies of the images in such a way that the illness remains visible.
Using appropriate metrics. In the example dataset, if we had a model that always made negative predictions, it would achieve a precision of 98%. There are other metrics such as precision, recall, and F-score that describe the accuracy of the model better when using an imbalanced dataset.",mle,Technical Machine Learning Interview Questions
mle0058,"Can you explain the differences between supervised, unsupervised, and reinforcement learning?","In supervised learning, we train a model to learn the relationship between input data and output data. We need to have labeled data to be able to do supervised learning.
With unsupervised learning, we only have unlabeled data. The model learns a representation of the data. Unsupervised learning is frequently used to initialize the parameters of the model when we have a lot of unlabeled data and a small fraction of labeled data. We first train an unsupervised model and, after that, we use the weights of the model to train a supervised model.
In reinforcement learning, the model has some input data and a reward depending on the output of the model. The model learns a policy that maximizes the reward. Reinforcement learning has been applied successfully to strategic games such as Go and even classic Atari video games.",mle,Technical Machine Learning Interview Questions
mle0059,What is data augmentation? Can you give some examples?,"Data augmentation is a technique for synthesizing new data by modifying existing data in such a way that the target is not changed, or it is changed in a known way.
Computer vision is one of fields where data augmentation is very useful. There are many modifications that we can do to images:
Resize
Horizontal or vertical flip
Rotate
Add noise
Deform
Modify colors Each problem needs a customized data augmentation pipeline. For example, on OCR, doing flips will change the text and won’t be beneficial; however, resizes and small rotations may help.",mle,Technical Machine Learning Interview Questions
mle0060,What is Turing test?,"The Turing test is a method to test the machine’s ability to match the human level intelligence. A machine is used to challenge the human intelligence that when it passes the test, it is considered as intelligent. Yet a machine could be viewed as intelligent without sufficiently knowing about people to mimic a human.",mle,Technical Machine Learning Interview Questions
mle0061,What is Precision?,"Precision (also called positive predictive value) is the fraction of relevant instances among the retrieved instances
Precision = true positive / (true positive + false positive)",mle,Technical Machine Learning Interview Questions
mle0062,What is Recall?,Recall (also known as sensitivity) is the fraction of relevant instances that have been retrieved over the total amount of relevant instances. Recall = true positive / (true positive + false negative),mle,Technical Machine Learning Interview Questions
mle0063,Define F1-score,"It is the weighted average of precision and recall. It considers both false positive and false negative into account. It is used to measure the model’s performance.
F1-Score = 2 * (precision * recall) / (precision + recall)",mle,Technical Machine Learning Interview Questions
mle0064,What is cost function?,"Cost function is a scalar functions which Quantifies the error factor of the Neural Network. Lower the cost function better the Neural network. Eg: MNIST Data set to classify the image, input image is digit 2 and the Neural network wrongly predicts it to be 3",mle,Technical Machine Learning Interview Questions
mle0065,List different activation neurons or functions,"Linear Neuron
Binary Threshold Neuron
Stochastic Binary Neuron
Sigmoid Neuron
Tanh function
Rectified Linear Unit (ReLU)",mle,Technical Machine Learning Interview Questions
mle0066,Define Learning Rate,Learning rate is a hyper-parameter that controls how much we are adjusting the weights of our network with respect the loss gradient.,mle,Technical Machine Learning Interview Questions
mle0067,What is Momentum (w.r.t NN optimization)?,"Momentum lets the optimization algorithm remembers its last step, and adds some proportion of it to the current step. This way, even if the algorithm is stuck in a flat region, or a small local minimum, it can get out and continue towards the true minimum.",mle,Technical Machine Learning Interview Questions
mle0068,What is the difference between Batch Gradient Descent and Stochastic Gradient Descent?,"Batch gradient descent computes the gradient using the whole dataset. This is great for convex, or relatively smooth error manifolds. In this case, we move somewhat directly towards an optimum solution, either local or global. Additionally, batch gradient descent, given an annealed learning rate, will eventually find the minimum located in it's basin of attraction.
Stochastic gradient descent (SGD) computes the gradient using a single sample. SGD works well (Not well, I suppose, but better than batch gradient descent) for error manifolds that have lots of local maxima/minima. In this case, the somewhat noisier gradient calculated using the reduced number of samples tends to jerk the model out of local minima into a region that hopefully is more optimal.",mle,Technical Machine Learning Interview Questions
mle0069,Epoch vs. Batch vs. Iteration,"Epoch: one forward pass and one backward pass of all the training examples
Batch: examples processed together in one pass (forward and backward)
Iteration: number of training examples / Batch size",mle,Technical Machine Learning Interview Questions
mle0070,What is vanishing gradient?,"As we add more and more hidden layers, back propagation becomes less and less useful in passing information to the lower layers. In effect, as information is passed back, the gradients begin to vanish and become small relative to the weights of the networks.",mle,Technical Machine Learning Interview Questions
mle0071,What are dropouts?,"Dropout is a simple way to prevent a neural network from overfitting. It is the dropping out of some of the units in a neural network. It is similar to the natural reproduction process, where the nature produces offsprings by combining distinct genes (dropping out others) rather than strengthening the co-adapting of them.",mle,Technical Machine Learning Interview Questions
